announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label,Incident,window_start,window_end
7,6,7,0,0,0,1,1,0,1,6,3,2.0,3,0,1,0,1,0,0,0,0,1,9,0.3103448275862069,12,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:08,2018-04-24 10:06:09
8,4,8,0,0,0,0,0,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,11,0.16923076923076924,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:09,2018-04-24 10:06:10
120,19,120,0,0,0,0,0,0,0,10,2,2.0,2,0,0,1,0,0,0,0,0,0,80,0.12598425196850394,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:10,2018-04-24 10:06:11
1,1,1,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,8,0.8888888888888888,12,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:11,2018-04-24 10:06:12
8,0,8,0,0,0,0,1,0,1,10,2,1.0,1,0,1,0,0,0,0,0,0,1,17,0.3269230769230769,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:12,2018-04-24 10:06:13
4,1,4,0,0,0,0,0,0,0,10,2,3.0,3,0,0,0,1,0,0,0,0,0,16,0.6666666666666666,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:13,2018-04-24 10:06:14
10,1,10,0,0,0,0,0,0,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,11,0.11,2,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:14,2018-04-24 10:06:15
11,0,11,0,0,0,0,0,0,0,8,2,3.0,3,0,0,0,4,0,0,0,0,0,10,0.13157894736842105,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:15,2018-04-24 10:06:16
10,2,10,0,0,0,0,1,0,1,8,2,3.0,3,0,0,0,1,0,0,0,0,0,23,0.40350877192982454,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:16,2018-04-24 10:06:17
13,4,13,1,0,0,0,1,0,1,9,2,1.0,1,0,2,0,0,0,0,0,0,1,15,0.22058823529411764,0,3,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:17,2018-04-24 10:06:18
119,5,119,4,0,0,0,6,4,2,11,2,2.0,3,2,2,0,6,0,0,0,2,2,29,0.061052631578947365,4,4,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:18,2018-04-24 10:06:19
20,5,20,0,0,0,0,0,0,0,9,2,3.0,3,0,0,0,8,0,0,0,0,0,11,0.09482758620689655,5,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:19,2018-04-24 10:06:20
10,0,10,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,16,0.3018867924528302,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:20,2018-04-24 10:06:21
15,4,15,0,0,0,0,0,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,11,0.11827956989247312,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:21,2018-04-24 10:06:22
